pool,trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,recapture_pct,auction_clear_rate,mean_solver_payout_bps,n_trigger_events,lp_net_quote_token,fixed_fee_v3_recapture_pct,reprice_execution_rate,window_count
link_weth_3000,5.0,1.0,10.0,0.5,500.0,99.85114757477989,1.0,14.529591620427428,3285,-2.1177159550023696,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,0.5,2500.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,0.5,5000.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,1.0,500.0,99.80584381840784,1.0,19.059967257632557,3285,-2.762250214681121,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,1.0,2500.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,1.0,5000.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,5.0,500.0,97.99232788120302,1.0,200.46986411060288,3287,-34.163614374441636,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,5.0,2500.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,10.0,5.0,5000.0,99.89759036978268,1.0,9.999467634034247,3296,-2.1456933986868627,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,0.5,500.0,99.65116325511543,1.0,34.528023586872024,3285,-4.962882796438969,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,0.5,2500.0,99.69760101710199,1.0,29.99840290210274,3296,-6.33588364684995,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,0.5,5000.0,99.69760101710199,1.0,29.99840290210274,3296,-6.33588364684995,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,1.0,500.0,99.60585949874338,1.0,39.05839922407715,3285,-5.60741705611772,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,1.0,2500.0,99.69760101710199,1.0,29.99840290210274,3296,-6.33588364684995,24.417480603168347,1.0,31
link_weth_3000,5.0,1.0,30.0,1.0,5000.0,99.69760101710199,1.0,29.99840290210274,3296,-6.33588364684995,24.417480603168347,1.0,31
